month,lon,lat,depth,don,dop,doc
5,-36.45547,19.05075,299.3,-999.0,-999.0,-999.0
5,-34.90055,22.23174,2.1,4.25,0.02,-999.0
5,-34.90055,22.23174,10.1,4.61,0.01,-999.0
5,-34.90055,22.23174,24.7,5.06,-999.0,-999.0
5,-34.90055,22.23174,49.8,4.93,0.03,-999.0
5,-34.90055,22.23174,74.4,3.94,0.02,-999.0
5,-34.90055,22.23174,99.7,5.89,-999.0,-999.0
5,-34.90055,22.23174,124.5,5.07,0.07,-999.0
5,-34.90055,22.23174,149.4,4.75,0.06,-999.0
5,-34.90055,22.23174,174.7,-999.0,-999.0,-999.0
5,-34.90055,22.23174,199.8,-999.0,-999.0,-999.0
5,-34.90055,22.23174,249.0,2.92,-999.0,-999.0
5,-34.90055,22.23174,299.9,2.79,-999.0,-999.0
5,-32.57326,24.32905,2.2,5.0,0.02,-999.0
5,-32.57326,24.32905,10.2,4.91,0.02,-999.0
5,-32.57326,24.32905,25.5,4.47,0.08,-999.0
5,-32.57326,24.32905,49.7,4.78,0.01,-999.0
5,-32.57326,24.32905,75.4,3.3,-999.0,-999.0
5,-32.57326,24.32905,100.1,3.94,0.05,-999.0
5,-32.57326,24.32905,125.4,4.58,0.08,-999.0
5,-32.57326,24.32905,150.2,4.07,0.08,-999.0
5,-32.57326,24.32905,175.8,3.46,0.12,-999.0
5,-32.57326,24.32905,200.3,2.68,-999.0,-999.0
5,-32.57326,24.32905,250.4,3.16,0.02,-999.0
5,-32.57326,24.32905,301.5,-999.0,-999.0,-999.0
5,-29.29955,27.21244,2.0,4.29,0.04,-999.0
5,-29.29955,27.21244,11.9,4.11,0.01,-999.0
5,-29.29955,27.21244,27.1,4.2,0.02,-999.0
5,-29.29955,27.21244,51.4,4.3,0.03,-999.0
5,-29.29955,27.21244,77.1,4.78,-999.0,-999.0
5,-29.29955,27.21244,101.5,4.01,0.03,-999.0
5,-29.29955,27.21244,119.8,4.41,0.03,-999.0
5,-29.29955,27.21244,130.1,1.85,-999.0,-999.0
5,-29.29955,27.21244,176.9,-999.0,0.01,-999.0
5,-29.29955,27.21244,201.8,-999.0,-999.0,-999.0
5,-29.29955,27.21244,251.7,2.78,0.05,-999.0
5,-29.29955,27.21244,302.0,2.55,0.02,-999.0
5,-25.72122,30.29099,2.2,4.26,-999.0,-999.0
5,-25.72122,30.29099,10.5,4.24,0.03,-999.0
5,-25.72122,30.29099,25.7,-999.0,-999.0,-999.0
5,-25.72122,30.29099,50.6,-999.0,-999.0,-999.0
5,-25.72122,30.29099,75.5,2.18,-999.0,-999.0
5,-25.72122,30.29099,103.0,2.0,-999.0,-999.0
5,-25.72122,30.29099,125.3,2.68,-999.0,-999.0
5,-25.72122,30.29099,150.4,3.93,0.08,-999.0
5,-25.72122,30.29099,174.9,-999.0,-999.0,-999.0
5,-25.72122,30.29099,200.4,-999.0,-999.0,-999.0
5,-25.72122,30.29099,250.2,-999.0,-999.0,-999.0
5,-25.72122,30.29099,301.0,-999.0,-999.0,-999.0
5,-21.71481,33.62421,2.0,2.63,0.02,-999.0
5,-21.71481,33.62421,10.5,4.32,0.02,-999.0
5,-21.71481,33.62421,25.1,2.49,-999.0,-999.0
5,-21.71481,33.62421,49.9,2.4,0.0,-999.0
5,-21.71481,33.62421,75.2,3.7,0.01,-999.0
5,-21.71481,33.62421,94.9,4.39,0.03,-999.0
5,-21.71481,33.62421,125.1,3.76,0.05,-999.0
5,-21.71481,33.62421,149.9,3.99,-999.0,-999.0
5,-21.71481,33.62421,174.8,3.74,-999.0,-999.0
