lon,lat,depth,dFe_obs
210.001,-37.0003,127.2,0.16
210.001,-37.0003,146.4,0.16
210.001,-37.0003,199.8,0.18
210.001,-37.0003,252.4,0.19
210.001,-37.0003,502.1,0.26
210.001,-37.0003,705.0,0.31
210.001,-37.0003,857.7,0.35
210.0,-38.0,14.8,0.12
210.0,-37.9999,40.8,0.12
210.0,-38.0,65.7,0.12
210.0,-38.0,87.1,0.12
210.0,-38.0,104.2,0.12
210.0,-38.0,135.8,0.13
210.0,-38.0,184.8,0.12
210.0,-38.0,236.0,0.18
210.0,-38.0,288.9,0.2
210.0,-38.0,488.6,0.2
210.0,-38.0,676.8,0.27
210.0,-38.0,849.7,0.32
210.0,-38.9997,19.3,0.12
210.0,-38.9997,34.1,0.16
210.0,-38.9997,55.1,0.14
210.0,-38.9997,69.6,0.12
210.0,-38.9997,90.7,0.14
210.0,-38.9997,120.3,0.12
210.0,-38.9997,169.8,0.13
210.0,-38.9997,223.4,0.17
210.0,-38.9997,264.6,0.17
210.0,-38.9997,471.5,0.21
210.0,-38.9997,643.2,0.21
210.0,-38.9997,841.6,0.23
209.999,-39.9998,20.0,0.2
209.999,-39.9998,32.4,0.2
209.999,-39.9998,50.6,0.25
209.999,-39.9998,80.8,0.51
209.999,-39.9998,99.3,0.26
209.999,-39.9998,121.7,0.23
209.999,-39.9998,151.7,0.24
209.999,-39.9998,201.2,0.36
209.999,-39.9998,250.9,0.27
209.999,-39.9998,499.5,0.4
209.999,-39.9997,702.1,0.41
209.999,-40.0,855.3,0.44
210.0,-41.0,20.4,0.17
210.0,-40.9999,39.9,0.21
210.0,-40.9999,66.9,0.19
210.0,-40.9999,86.5,0.21
210.0,-41.0,106.2,0.17
210.0,-40.9999,134.8,0.19
210.0,-41.0,185.2,0.2
210.0,-40.9999,239.4,0.22
210.0,-41.0,287.4,0.33
210.0,-41.0,490.5,0.27
210.0,-40.9999,672.9,0.45
210.0,-40.9999,850.2,0.41
210.001,-42.0007,19.4,0.14
210.001,-42.0007,35.1,0.26
210.001,-42.0007,54.6,0.16
210.001,-42.0008,69.8,0.26
210.001,-42.0007,91.7,0.37
210.001,-42.0008,119.9,0.26
210.001,-42.0007,169.2,0.26
210.001,-42.0007,220.4,0.26
210.001,-42.0008,271.2,0.25
210.001,-42.0007,474.1,0.34
210.001,-42.0007,644.2,0.35
210.001,-42.0008,845.2,0.46
210.0,-43.0,19.0,0.18
210.0,-43.0,33.7,0.14
210.0,-43.0,48.3,0.15
210.0,-43.0,79.6,0.14
210.0,-43.0,98.7,0.16
210.0,-43.0,124.3,0.13
210.0,-43.0,149.1,0.15
210.0,-43.0,199.7,0.16
210.0,-43.0,249.0,0.18
210.0,-43.0,503.1,0.21
210.0,-43.0,705.4,0.29
210.0,-43.0,856.7,0.39
210.0,-44.0003,19.3,0.16
210.0,-44.0003,41.2,0.17
210.0,-44.0003,66.1,0.22
210.0,-44.0003,84.7,0.16
210.0,-44.0003,105.1,0.26
210.0,-44.0003,136.3,0.21
210.0,-44.0003,187.7,0.25
210.0,-44.0003,235.6,0.39
210.0,-44.0003,287.5,0.36
210.0,-44.0003,486.8,0.36
210.0,-44.0003,675.7,0.62
210.0,-44.0002,852.2,0.75
210.0,-45.0007,19.8,0.18
210.0,-45.0007,35.2,0.13
210.0,-45.0008,55.3,0.18
210.0,-45.0008,72.2,0.2
210.0,-45.0008,91.5,0.16
210.0,-45.0008,120.1,0.19
210.0,-45.0008,172.6,0.25
210.0,-45.0008,214.7,0.3
210.0,-45.0007,273.4,0.31
210.0,-45.0008,468.8,0.4
210.0,-45.0007,644.5,0.44
210.0,-45.0008,845.6,0.62
210.002,-45.9995,20.1,0.12
210.002,-45.9995,37.1,0.14
210.002,-45.9995,49.8,0.19
210.002,-45.9995,86.0,0.16
210.002,-45.9995,98.6,0.15
210.002,-45.9995,127.0,0.17
210.002,-45.9994,151.6,0.19
210.002,-45.9994,253.8,0.26
210.002,-45.9995,505.4,0.4
210.002,-45.9997,706.0,1.73
210.002,-45.9995,857.9,0.45
210.0,-53.9999,16.9,0.16
210.0,-54.0001,55.0,0.14
210.0,-54.0001,72.0,0.2
210.0,-54.0001,92.3,0.14
210.0,-54.0001,121.9,0.19
210.0,-54.0001,174.1,0.18
210.0,-53.9999,223.8,0.2
210.0,-53.9999,272.1,0.22
210.0,-54.0002,473.8,0.41
210.0,-54.0003,643.0,0.45
210.0,-54.0002,810.4,0.57
210.0,-55.9979,16.9,0.1
210.0,-55.9979,65.9,0.1
210.0,-55.9979,83.1,0.1
210.0,-55.9979,102.3,0.1
210.0,-55.9979,134.3,0.14
210.0,-55.9979,182.5,0.2
210.0,-55.9979,233.8,0.23
210.0,-55.9979,236.8,0.3
210.0,-55.9979,281.8,0.32
210.0,-55.9979,488.0,0.43
210.0,-55.9979,678.3,0.47
210.0,-55.9979,852.7,0.56
209.999,-57.5007,22.2,0.08
209.999,-57.5006,66.6,0.08
209.999,-57.5006,84.0,0.08
209.999,-57.5006,106.1,0.09
209.999,-57.5006,135.9,0.1
209.999,-57.5006,184.9,0.22
209.999,-57.5006,240.9,0.26
209.999,-57.5006,242.0,0.31
209.999,-57.5006,286.9,0.29
209.999,-57.5006,489.4,0.32
209.999,-57.5006,665.7,0.3
209.999,-57.5008,853.5,0.34
209.999,-58.4994,19.9,0.06
209.999,-58.4994,53.7,0.057
209.999,-58.4994,71.2,0.08
209.999,-58.4994,91.9,0.07
209.999,-58.4994,122.1,0.11
209.999,-58.4994,169.2,0.17
209.999,-58.4994,174.3,0.17
209.999,-58.4994,221.2,0.19
209.999,-58.4994,271.8,0.21
209.999,-58.4994,474.5,0.25
209.999,-58.4993,642.4,0.25
209.999,-58.4992,845.7,0.33
209.997,-60.4982,22.9,0.18
209.997,-60.4982,42.6,0.17
209.997,-60.4982,67.0,0.14
209.997,-60.4981,86.0,0.15
209.996,-60.4981,104.6,0.13
209.996,-60.498,138.2,0.17
209.996,-60.4979,186.2,0.3
209.996,-60.4979,238.9,0.29
209.996,-60.4979,288.1,0.29
209.996,-60.4975,490.7,0.34
209.996,-60.4973,674.3,0.34
209.996,-60.4969,853.0,0.42
210.069,-61.5016,18.7,0.16
210.069,-61.5016,35.3,0.14
210.069,-61.5016,54.4,0.13
210.069,-61.5016,69.7,0.12
210.07,-61.5016,91.1,0.14
210.07,-61.5016,122.0,0.15
210.07,-61.5016,170.4,0.19
210.069,-61.5016,220.2,0.2
210.07,-61.5016,272.6,0.24
210.069,-61.5016,470.3,0.31
210.069,-61.5016,642.8,0.31
210.069,-61.5016,850.2,0.33
209.999,-62.4979,20.6,0.12
209.999,-62.4979,35.2,0.16
209.999,-62.4979,51.1,0.13
209.999,-62.4979,81.2,0.12
209.999,-62.4979,100.6,0.13
209.999,-62.4979,116.8,0.14
209.999,-62.4979,150.4,0.18
209.999,-62.4979,201.9,0.25
209.999,-62.4979,251.2,0.27
209.999,-62.4979,503.9,0.32
209.999,-62.4979,704.2,0.33
209.999,-62.4979,854.0,0.35
210.003,-63.4991,19.3,0.13
210.003,-63.4991,39.3,0.13
210.003,-63.4991,63.9,0.14
210.003,-63.4991,84.3,0.16
210.003,-63.4991,105.1,0.14
210.003,-63.4991,135.2,0.19
210.003,-63.4991,183.8,0.29
210.003,-63.4991,235.7,0.3
210.003,-63.4991,285.6,0.3
210.003,-63.4991,486.9,0.35
210.003,-63.4991,675.5,0.41
210.003,-63.4991,849.1,0.4
210.001,-64.4963,19.4,0.1
210.001,-64.4963,36.1,0.1
210.001,-64.4963,54.0,0.12
210.001,-64.4963,69.5,0.11
210.001,-64.4963,90.1,0.15
210.002,-64.4963,120.6,0.15
210.002,-64.4963,172.2,0.26
210.002,-64.4963,220.6,0.26
210.002,-64.4963,271.6,0.3
210.002,-64.4962,472.4,0.33
210.002,-64.4963,644.1,0.37
210.001,-64.4963,846.1,0.37
210.066,-65.4996,20.2,0.12
210.066,-65.4996,34.6,0.09
210.066,-65.4996,50.5,0.08
210.066,-65.4996,81.8,0.08
210.066,-65.4996,100.6,0.1
210.066,-65.4996,133.3,0.12
210.066,-65.4996,150.2,0.18
210.066,-65.4996,203.1,0.2
210.066,-65.4997,250.8,0.27
210.066,-65.4997,502.7,0.27
210.066,-65.4996,706.0,0.29
210.066,-65.4996,857.8,0.29
209.898,-66.4999,19.9,0.11
209.898,-66.4999,39.7,0.14
209.898,-66.4999,65.5,0.07
209.898,-66.4999,84.7,0.1
209.898,-66.4999,104.5,0.12
209.898,-66.4999,133.6,0.12
209.898,-66.4999,185.2,0.057
209.898,-66.4999,235.9,0.057
209.898,-66.4999,286.8,0.057
209.898,-66.4999,487.5,0.057
209.898,-66.4999,674.6,0.29
209.898,-66.4999,856.5,0.34
210.002,-67.5007,7.6,0.1
210.002,-67.5006,34.8,0.08
