,collection,case,stream,variable,path
1549,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.102.pop.h.POC_FLUX_100m.206501-210012.nc
1550,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103.pop.h.POC_FLUX_100m.201501-206412.nc
1551,epoch_mean,b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103/ocn/proc/tseries/month_1/b.e21.BSSP126cmip6.f09_g17.CMIP6-SSP1-2.6.103.pop.h.POC_FLUX_100m.206501-210012.nc
1552,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101.pop.h.photoC_TOT_zint_100m.201501-206412.nc
1553,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101.pop.h.photoC_TOT_zint_100m.206501-210012.nc
1554,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102.pop.h.photoC_TOT_zint_100m.201501-206412.nc
1555,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102.pop.h.photoC_TOT_zint_100m.206501-210012.nc
1556,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103.pop.h.photoC_TOT_zint_100m.201501-206412.nc
1557,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103.pop.h.photoC_TOT_zint_100m.206501-210012.nc
1558,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101.pop.h.photoC_diat_zint_100m.201501-206412.nc
